Wireshark multicast filter:
ip.dst > 229.7.7.0 && ip.dst < 229.7.7.255

[sim@MRT-host bridge_rp]$ ./main 
18:38:10.555019: Recording traffic on 229.7.7.0:4000, from .1-.250
18:38:40.956569: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:40.971953: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:40.988579: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:41.005048: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:41.022403: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:41.038186: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:41.059730: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:41.071902: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:41.088314: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:41.105528: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:41.121508: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:41.139438: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:41.155489: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:41.171623: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:41.191775: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:41.206600: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:41.222632: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:41.238308: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:41.255162: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:41.271180: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:41.290479: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:41.306209: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:41.323579: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:41.338576: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:41.355572: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:41.372771: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:41.392420: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:41.405901: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:41.421588: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:41.438755: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:41.454781: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:41.471917: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:41.489161: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:41.504845: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:41.523005: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:41.538459: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:41.555431: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:41.571469: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:41.588223: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:41.599219: Got message from 192.168.137.129 (229.7.7.1) bytes 57
18:38:41.605014: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:41.623014: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:41.638687: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:41.654409: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:41.671347: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:41.687704: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:41.706068: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:41.722105: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:41.739193: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:41.755225: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:41.771867: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:41.789678: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:41.805814: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:41.821524: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:41.840027: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:41.855234: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:41.871487: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:41.888646: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:41.905408: Got message from 192.168.137.129 (229.7.7.100) bytes 96
18:38:41.922441: Got message from 192.168.137.129 (229.7.7.100) bytes 96
