[sim@MRT-host udp-record-playback]$ ./main 
18:03:01.190624: Recording traffic on 229.7.7.0:4000, from .1-.250
18:03:24.996615: Got message from 192.168.2.130 (229.7.7.4) bytes 133
18:03:24.997210: Got message from 192.168.2.130 (229.7.7.5) bytes 135
18:03:24.997375: Got message from 192.168.2.130 (229.7.7.9) bytes 120
18:03:25.808105: Got message from 192.168.2.128 (229.7.7.3) bytes 50
18:03:25.808389: Got message from 192.168.2.128 (229.7.7.4) bytes 86
18:03:25.808511: Got message from 192.168.2.128 (229.7.7.5) bytes 147
18:03:25.808636: Got message from 192.168.2.128 (229.7.7.9) bytes 120
18:03:25.991497: Got message from 192.168.2.130 (229.7.7.4) bytes 133
18:03:25.992042: Got message from 192.168.2.130 (229.7.7.5) bytes 135
18:03:25.992229: Got message from 192.168.2.130 (229.7.7.9) bytes 120
18:03:26.806012: Got message from 192.168.2.128 (229.7.7.4) bytes 86
18:03:26.806290: Got message from 192.168.2.128 (229.7.7.5) bytes 147
18:03:26.806412: Got message from 192.168.2.128 (229.7.7.9) bytes 120
18:03:27.004677: Got message from 192.168.2.130 (229.7.7.4) bytes 133
18:03:27.005212: Got message from 192.168.2.130 (229.7.7.5) bytes 135
18:03:27.005379: Got message from 192.168.2.130 (229.7.7.9) bytes 120
18:03:27.723641: Got message from 192.168.2.130 (229.7.7.1) bytes 130
18:03:28.009095: Got message from 192.168.2.130 (229.7.7.4) bytes 133
18:03:28.009345: Got message from 192.168.2.130 (229.7.7.5) bytes 135
18:03:28.009464: Got message from 192.168.2.130 (229.7.7.9) bytes 120
18:03:28.808707: Got message from 192.168.2.128 (229.7.7.4) bytes 86
18:03:28.809176: Got message from 192.168.2.128 (229.7.7.5) bytes 147
18:03:28.809288: Got message from 192.168.2.128 (229.7.7.9) bytes 120
18:03:28.949451: Got message from 192.168.2.130 (229.7.7.45) bytes 65
18:03:29.008878: Got message from 192.168.2.130 (229.7.7.4) bytes 133
18:03:29.009153: Got message from 192.168.2.130 (229.7.7.5) bytes 135
18:03:29.009277: Got message from 192.168.2.130 (229.7.7.9) bytes 120
18:03:29.806017: Got message from 192.168.2.128 (229.7.7.4) bytes 86
18:03:29.806293: Got message from 192.168.2.128 (229.7.7.5) bytes 147
18:03:29.806423: Got message from 192.168.2.128 (229.7.7.9) bytes 120
18:03:30.017263: Got message from 192.168.2.130 (229.7.7.4) bytes 133
18:03:30.017486: Got message from 192.168.2.130 (229.7.7.5) bytes 135
18:03:30.017597: Got message from 192.168.2.130 (229.7.7.9) bytes 120
18:03:31.021103: Got message from 192.168.2.130 (229.7.7.4) bytes 133
18:03:31.021329: Got message from 192.168.2.130 (229.7.7.5) bytes 135
18:03:31.021444: Got message from 192.168.2.130 (229.7.7.9) bytes 120
^C
18:03:31.025598: 172 packets recorded to 12 files
Exiting...

